1 0  2.61645
2 0  4.53182
2 1  2.61645
3 0  5.23290
3 1  4.53182
3 2  2.61645
4 0  4.53182
4 1  5.23290
4 2  4.53182
4 3  2.61645
5 0  2.61645
5 1  4.53182
5 2  5.23290
5 3  4.53182
5 4  2.61645
6 0  4.03130
6 1  6.36748
6 2  7.25889
6 3  6.36748
6 4  4.03130
6 5  2.02599
7 0  6.36748
7 1  7.25889
7 2  6.36748
7 3  4.03130
7 4  2.02599
7 5  4.03130
7 6  4.64244
8 0  7.25889
8 1  6.36748
8 2  4.03130
8 3  2.02599
8 4  4.03130
8 5  6.36748
8 6  8.04095
8 7  4.64244
9 0  6.36748
9 1  4.03130
9 2  2.02599
9 3  4.03130
9 4  6.36748
9 5  7.25889
9 6  9.28488
9 7  8.04095
9 8  4.64244
10 0  4.03130
10 1  2.02599
10 2  4.03130
10 3  6.36748
10 4  7.25889
10 5  6.36748
10 6  8.04095
10 7  9.28488
10 8  8.04095
10 9  4.64244
11 0  2.02599
11 1  4.03130
11 2  6.36748
11 3  7.25889
11 4  6.36748
11 5  4.03130
11 6  4.64244
11 7  8.04095
11 8  9.28488
11 9  8.04095
11 10  4.64244
